Inconnu;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Jusqu'à 5 Tonnes;1,7,13,14,15,17,18,19,21,25,26,28,30,31,32
Jusqu'à 7 Tonnes;8,15,16,17,18,19,21,28,29,30,31
Jusqu'à 9 Tonnes;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,23,24,25,26,27,28,29,30,32,33
Jusqu'à 12 Tonnes;2,4,8,21,30,31
Jusqu'à 15 Tonnes;2,3,4,5,6,7,8,10,11,12,16,17,19,20,21,23,24,25,26,27,28,29,30,31,32
Jusqu'à 20 Tonnes;2,3,4,5,6,7,8,9,10,11,12,16,19,20,25,26,27,28,29,30,31,32
Jusqu'à 25 Tonnes;2,3,4,5,6,7,11,12,25,26,27,28,29,30,31,32
Jusqu'à 28 Tonnes;6,7,12,25,26,27,28,29,30,31,32
Plus de 30 Tonnes;4,5,6,7,25,26,27,28,29,30,31,32
